rating,rating_raw,date,content
5,★★★★★,2016-02-17,"★★★★★
Watched by Brandon 17 Feb 2016
Quickie--Zootopia! Disney animation has done it again! I straight up LOVE this movie. A rich story, great animation, a perfect voice cast, and awesome humor. You definitely need to go see this one. Disney/Pixar had two movies release last year and I would consider both of them inferior to this gem right here. No words, just go catch this flick on March 4, 2016!
I give Zootopia a 95%
2 likes"
5,★★★★★,2016-02-18,"★★★★★
Watched by Pineapple St. James 18 Feb 2016
Zootopia is the modern metropolis, populated by all manner of mammals. Everyone has an equal opportunity to better themselves, but most resign themselves to their fates. Rabbits are farmers and a lion is Mayor. For Judy Hopps (Ginnifer Goodwin), her improbable dreams of becoming a police and making Zootopia safer are laughable to most. Bunnies aren't meant to be cops.
Zootopia, is easily the best Disney film since Frozen (2013). It's take on discrimination, racial profiling and sexism is profound,… more
2 likes"
4,★★★★,2016-02-17,"★★★★
Watched by Conan Tan 17 Feb 2016
Film #55 of the Walt Disney animated canon. The story seemed to work better when the focus shifted from Nick Wilde's character to Judy Hopps.
2 likes"
4.5,★★★★½,2016-02-19,"★★★★½
Watched by Miguel Solo 19 Feb 2016
2
Mundo, historia, humor y personajes coexisten en bonita armonía en este clásico relato Disney de superación aderezado con temas bastante maduros, usados en el contexto de una trama digna del más puro cine negro y detectivesco en la que tiene cabida un poco de todo, desde jugueteos entre varios géneros y guiños a otras obras hasta puntazos autorreferenciales.
Visualmente también es la más estimulante que veo de este estilo desde la Lego Película. Un prodigio creativo que está lanzando constantemente… more
10 likes"
4.5,★★★★½,2016-02-19,"★★★★½
Watched by Jody Pangilinan 19 Feb 2016
Zootopia is indeed like nothing you've ever seen be-fur. First few minutes and I'm already overwhelmed by the visuals. I enjoyed it from beginning to end!
2 likes"
4.5,★★★★½,2016-02-19T16:40:07.971Z,"★★★★½
Added by Droide TV 20 Feb 2016
La cinta aborda temáticas sociales en trasfondo con momentos y mensajes memorables asi como un trabajo de animación y una trama ágil que mantendrá atentos a chicos y grandes.
La moderna metrópoli mamífera de Zootrópolis es una ciudad absolutamente única. Está compuesta de barrios con diferentes hábitats como la lujosa Sahara Square y la gélida Tundratown. Es un crisol donde los animales de cada entorno conviven, un lugar donde no importa lo que seas. De hecho puedes ser cualquier cosa,… more
No likes yet"
3,★★★,2016-02-19,"★★★ Watched by Laura Jenny 19 Feb 2016
Cinema
No likes yet"
5,★★★★★,2016-02-19,"★★★★★
Watched by Mirella 🕯️👻 Lugo 19 Feb 2016
¡Qué bonita película! Tanto o igual que el buen mensaje que tiene.
9 likes"
3,★★★,2016-02-19,"★★★
Watched by Kent Emir 19 Feb 2016
Aunque tiene un inicio bastante entretenido y la historia tiene un bonito mensaje no tiene 'eso' que me llamara la atención salvo el clip que había visto de los perezosos y que me gusto bastante.
6 likes"
3.5,★★★½,2016-02-17,"★★★½ Watched by PASKALIS DAMAR 17 Feb 2016
1
Zootopia still manages to have all the inventive world-building, all the likable characters, and all the funny moment, in spite of its choppy narratives. This literal animal kingdom is definitely funny without patronizing; however, it could’ve been funnier.
More: sinekdoks.com/2016/02/18/zootopia-2016-review/
3 likes"
3,★★★,2016-02-19,"★★★ Watched by mwheelock 19 Feb 2016
An animated commentary on modern life
1 like"
4,★★★★,2016-02-19,"★★★★ Watched by Ana Loredo 19 Feb 2016
Película con un rico sarcasmo y excelente calidad de imagen, vale la pena verla en 3D!!!
Una historia sobre la lucha contra estereotipos actuales en la estructura social capitalista, con una irónica crítica al viciado sistema burocrático. El zorro y el conejo rompen etiquetas, contra su propia naturaleza resolveran juntos un caso detectivesco, donde como en una novela negra el antihéroe tiene una cruel experiencia en su pasado.
2 likes"
4,★★★★,2016-02-20,"★★★★ Watched by Rampaging Puppy 20 Feb 2016
THE SLOTH. Oh my goodness. I haven't laughed that much in ages!
Zootopia is an unexpectedly delightful film. Underneath the fairly simple plot lies a good message about prejudice and why we should learn to overcome it.
3 likes"
4.5,★★★★½,2016-02-20,"★★★★½
Watched by Paolo Alfar 20 Feb 2016
Out of “Zootopia” comes one of Disney’s cleverest scripts, for the fact it successfully pulls off a new spin on their usual fables. Well, the concept isn’t new – an animal buddy cop movie, but in usual Disney animated magic, it is a fun new creation. At the center of this buddy cop movie is bunny Judy Hopps (a wonderful Ginnifer Goodwin), an aspiring cadet who is landed on parking duty, despite being a valedictorian in police academy. But when… more
1 like"
4.5,★★★★½,2016-02-18,"★★★★½
Watched by Red Red Milly 18 Feb 2016
Such a great surprise, one of the best Disney movies.
A
3 likes"
1,★,2016-02-20T16:47:54.031Z,"★ Added by Long 21 Feb 2016
Los tres lideres de este comercial cinematografico para mi no son nada mas que unos empresarios astutos haciendose pasar por directores o productores de cine,nisiquiera de cine pero de empleados para otras compañias multimillonarias(Disney)que en mi opinion,rara vez han hecho un proyecto aventurado y creativo olvidandose del aspecto comercial.La verdad esque cada vez me dan menos ganas de ver una pelicula de Disney,Pixar,Dream Works etc.Para mi una película es una historia creativa y nueva con un toque de arte por… more
No likes yet"
4.5,★★★★½,2016-02-20T21:01:33.021Z,"★★★★½
Added by MrDonZea 21 Feb 2016
En más de un aspecto, «Zootrópolis» me ha parecido uno de los productos más redondos y satisfactorios de Walt Disney Animation Studios. Esperaba una buena película y he salido francamente entusiasmado de la sala.
Desde el primer minuto, te absorbe la creatividad que demuestra la simple decisión de concebir una razón para la existencia de un mundo habitado por animales parlantes antropomorfos, y conforme avanza el metraje, deslumbra observar la forma en que se ha sacado provecho de ese contexto… more
4 likes"
4,★★★★,2016-02-20,"★★★★
Watched by Goldmon Iporac 20 Feb 2016
Contains light spoilers, if you've only seen the marketing for this
Contrary to its marketing, this isn't just another movie about talking, anthropomorphic animals filled with animal puns.
It's probably done on purpose, because this is Disney's most political movie in recent years. It's an Aesop fable for the modern age; where conversations about race tends to go south quickly, fearmongering has lead to Trump becoming the frontrunner of the GOP in the US Presidential Elections, & #BlackLivesMatter became a prominent… more
4 likes"
3.5,★★★½,2016-02-20,"★★★½ Watched by Oscar 20 Feb 2016
1
El mensaje social sobre los estereotipos y sobre ser quien uno quiere ser sin importar lo que demás digan es clarísimo, pero Zootopia, para mi, tuvo un gran problema y es que después de mostrar unas referencias a The Grandfather, Breaking Bad y pasar entre varios subgéneros, rápidamente se desinfla en su tercer acto, en donde deja de brillar, eso y el haber mostrado hasta el cansancio el chiste de los perezosos cada vez que iba a ver una película.
No likes yet"
3,★★★,2016-02-20,"★★★
Watched by David Moyes 20 Feb 2016
GFF 2016
Film 2: Pretty fun disney film with a very cool world and breaking bad references
No likes yet"
4,★★★★,2016-02-18,"★★★★
Watched by Emmanuel Báez 18 Feb 2016
Entre Intensa-Mente, de Pixar, y Zootopia, de Walt Disney Animation, tenemos dos de las películas más importantes de los últimos años, que sirven para sentarse a ver con los hijos y tener luego un sustancial diálogo acerca de los temas que tocan. La primera, un relato más personal acerca de la importancia de cuidar la salud mental, y la segunda, una historia más amplia acerca de los prejuicios, la diversidad, y la discriminación. Sin duda alguna, Disney aprendió lo suficiente… more
2 likes"
4,★★★★,2016-02-21T02:49:56.412Z,"★★★★
Added by jujulan carrington 21 Feb 2016
Me encanto el personaje de gazete inspirada en Shakira
2 likes"
3.5,★★★½,2016-02-20,"★★★½ Watched by Albert Molina 20 Feb 2016
Zootopia no descubre el hilo negro en nada, y es demasiado convencional al estilo Disney.
Pese a que la película busca crear un mundo animal civilizado más sofisticado a comparación del de 'Chicken Little', no deja de sentirse como un género de ""animales humanos"" bastante utilizado en la animación.
A pesar de esta convencionalidad, la animación no queda a deber, tiene un color y diseño digital bastante aceptable y competitivo, y sería una un pecado recibir menos de Disney.
En… more
No likes yet"
4,★★★★,2016-02-20,"★★★★
Watched by Alex 20 Feb 2016
This was one of the worst theater experiences I've ever had and ill tell you why.
1.The kid behind me kept kicking my seat.
2.Half way through the movie some kid a couple seats in front of me threw up.
3.Near the end some woman behind me yelled so loud my it hurt my ear.
4.The kid next to me wouldn't stop moving and also talked.
5.Kids would keep talking constantly throughout the entire movie.
6. Some of the adults would talk.
Other than that Zootopia was great!
5 likes"
4,★★★★,2016-02-21,"★★★★
Watched by Luis_989 21 Feb 2016
Funny and well done!!
18 likes"
4,★★★★,2016-02-20,"★★★★
Watched by Benrich 20 Feb 2016
Disney's take on bigotry and discrimination taken in the personification of cute animals and stunning animation. Unusually mature with a nice fast pacing, this is definitely a movie that kids today have to see, because who knows, maybe they'll learn a thing or two about how not to be ignorant fuckers.
3 likes"
4.5,★★★★½,2016-02-21,"★★★★½
Watched by Irvin Malcolm 21 Feb 2016
In an alternate universe where mammals are the most evolved species, a female bunny becomes the first bunny police officer and is forced to team up with a con-man fox to solve a case. This film is pretty terrific. It's a surprisingly well-constructed procedural mystery with some twists and turns and at the same time it's a really funny buddy cop comedy with some truly funny sequences (that is in addition to the already hilarious DMV sloth sequence). And on… more
1 like"
4,★★★★,2016-02-21,"★★★★
Watched by Tintin 21 Feb 2016
2
This review may contain spoilers. I can handle the truth.







No likes yet"
