rating,date,comment,raw_word_count,language,clean_comment,year_month,clean_word_count
5.0,2020-08-07,"Zootopia is one of my favorite animated movie and it has some comedy in it but lots of heartwarming drama made by Pixar with animals. Bonnie Hunt, Jason Bateman, Ginifer Goodwin, Shakira, Jenny Slate, Kristen Bell, John DiMaggio and J.K Simmons.10/10",41,en,zootopia one favorite animated movie comedy lot heartwarming drama made pixar animal bonnie hunt jason bateman ginifer goodwin shakira jenny slate kristen bell john dimaggio j k simmons,2020-08,28
5.0,2020-08-03,"A visually stunning, brilliantly animated and thoughtful Disney animation that deals with heavy themes like racism and political bigotry, has endearing characters and a thought-provoking, emotional, intelligent and entertaining narrative.",30,en,visually stunning brilliantly animated thoughtful disney animation deal heavy theme like racism political bigotry endearing character thought provoking emotional intelligent entertaining narrative,2020-08,22
5.0,2020-08-01,Zootopia is the greatest Oscar-Winning Disney animated feature film I ever loved.,12,en,zootopia greatest oscar winning disney animated feature film ever loved,2020-08,10
5.0,2020-07-28,Heat movie. Fun for all of us!,7,en,heat movie fun u,2020-07,4
5.0,2020-07-24,"One of the best animated films of the past decade. The animation is beautiful, the voice acting is great, the creativity is off the charts, and the message is needed.",30,en,one best animated film past decade animation beautiful voice acting great creativity chart message needed,2020-07,15
4.0,2020-07-12,"this movie is full of real world experiences in the form of children's animation. i think everyone can relate to a character in this movie. the one big problem i have with the movie is the villain. she seems very underdeveloped. and although it was unexpected, i personally think it was because she didn't have any villainous qualities until it was revealed. she is very similar to hans from frozen and in that they don't seem at all like villains until they are revealed as ones. i think if they would've developed her more this movie could've been very memorable and extraordinary, but personally it fell a little short.",109,en,movie full real world experience form child animation think everyone relate character movie one big problem movie villain seems underdeveloped although unexpected personally think villainous quality revealed similar han frozen seem like villain revealed one think would developed movie could memorable extraordinary personally fell little short,2020-07,46
4.5,2020-07-10,"Zootopia is a fun buddy-cop movie that's filled to the brim with sharp comedy and imaginative worldbuilding. On top of the gorgeous animation, it's impressive with how they were able to design a city that accommodated the different sizes and biome preferences of its diverse mammalian residents. You can tell they put a lot of time, research, add passion into this aspect of the movie. And that's just the icing on the cake. The characters are very likeable and share great chemistry thanks to the film's stellar cast and screenwriting. Jason Bateman as the fast-talking fox con-artist Nick Wilde stole the show for me with his snarky comedic timing and unexpected emotional resonance that's peeled away like an onion as the movie goes on. The movie takes n interesting approach with its heavy and relevant themes of racial prejudice. Unfortunately the themes can get muddled its symbolism with some potentially unfortunate implications when it comes to the allegories of predators/prey with real life race relations. However, I still respect the filmmakers' intentions of weaving this relevant subject matter into the narrative of an already imaginatively entertaining and charming animated family film.",191,en,zootopia fun buddy cop movie filled brim sharp comedy imaginative worldbuilding top gorgeous animation impressive able design city accommodated different size biome preference diverse mammalian resident tell put lot time research add passion aspect movie icing cake character likeable share great chemistry thanks film stellar cast screenwriting jason bateman fast talking fox con artist nick wilde stole show snarky comedic timing unexpected emotional resonance peeled away like onion movie go movie take n interesting approach heavy relevant theme racial prejudice unfortunately theme get muddled symbolism potentially unfortunate implication come allegory predator prey real life race relation however still respect filmmaker intention weaving relevant subject matter narrative already imaginatively entertaining charming animated family film,2020-07,113
5.0,2020-06-27,"Amazing PG movie, but really not the single feel-good movie you'd want to see. It tackles ferociously complex issues of addiction and racism, but still manages its Disney-esque. The animation is in high quality, and every parody of real-world stuff [from Let It Goat to Pig Hero 6] is really cute. The movie can be a little disturbing for preschoolers and kids which are 7-8 years, but the film is a really great family flick, in reality. The visual appeal is high, for that case. One for all, the film is obvious charm in a film.",96,en,amazing pg movie really single feel good movie want see tackle ferociously complex issue addiction racism still manages disney esque animation high quality every parody real world stuff let goat pig hero really cute movie little disturbing preschooler kid year film really great family flick reality visual appeal high case one film obvious charm film,2020-06,55
5.0,2020-06-27,My kids love this movie!,5,en,kid love movie,2020-06,3
5.0,2020-06-26,"fantastic, the best movie of the year 2016",8,en,fantastic best movie year,2020-06,4
